daily_gaming_hours,social_isolation_score,withdrawal_symptoms,sleep_disruption_frequency,mood_swing_frequency,continued_despite_problems,exercise_hours_weekly,academic_work_performance,mental_analysis,gaming_addiction_risk_level
-1.099673541574243,-0.8955383898693237,False,3,2,False,0.8614153195097867,4,2.46,Moderate
0.5054855278049275,0.5396192862033105,True,2,3,True,0.0854154177571957,5,4.88,Moderate
0.3659064782936954,0.0612333941790991,True,2,0,False,-0.9677273060498914,5,3.86,Moderate
0.226327428782463,0.0612333941790991,True,1,0,False,-0.4688702263517977,0,5.43,High
-1.4137264029745154,-1.373924281893535,False,3,1,False,2.136272300960472,4,1.18,Low
-1.204357828707667,-0.8955383898693237,False,2,3,False,1.6928437856732768,1,3.33,Moderate
-1.657989739619172,-1.373924281893535,False,0,0,False,1.748272350084176,4,0.01,Low
0.5054855278049275,1.018005178227522,True,2,1,True,-1.355727256926187,0,7.31,High
-1.623094977241364,-1.373924281893535,False,2,0,False,1.748272350084176,4,0.62,Low
-1.099673541574243,-1.373924281893535,False,4,3,False,1.360272399207881,2,3.49,Moderate
-0.3668835316402739,-0.4171524978451122,False,1,3,False,0.3625582398116924,0,4.87,Moderate
-0.1226201949956174,-0.4171524978451122,False,2,3,False,0.6951296262770883,4,3.45,Moderate
0.4008012406715033,1.018005178227522,True,2,1,False,-0.0254417110646025,5,4.19,Moderate
-1.099673541574243,-0.4171524978451122,False,4,1,False,-0.1362988398864013,5,2.67,Moderate
0.7846436268273922,1.4963910702517331,True,0,4,True,0.0854154177571957,0,7.38,High
1.1335912506054726,1.4963910702517331,True,4,3,False,-1.189441563693489,1,8.33,Severe
0.1216431416490389,1.018005178227522,False,0,1,False,-0.3025845331190993,1,4.83,Moderate
-0.0179359078621933,-1.373924281893535,False,4,2,False,-0.6351559195844956,4,3.98,Moderate
0.0518536168934227,0.0612333941790991,False,3,1,False,0.3071296754007933,0,5.4,High
0.9591174387164324,0.5396192862033105,True,1,3,False,-0.6905844839953947,0,7.14,High
-0.3319887692624657,-0.8955383898693237,False,3,3,False,-0.413441661940898,4,3.86,Moderate
-0.9600944920630108,-0.4171524978451122,False,0,4,False,0.4734153686334912,0,4.39,Moderate
-0.0877254326178092,-0.4171524978451122,False,0,2,False,0.58427249745529,1,3.96,Moderate
0.7148541020717757,0.5396192862033105,False,0,3,False,-0.2471559687082001,5,3.87,Moderate
-1.727779264374788,-0.8955383898693237,False,0,4,False,0.9168438839206858,4,1.69,Low
-0.506462581151506,-0.4171524978451122,False,3,4,False,-0.7460130484062943,0,6.12,High
-1.7975687891304042,-1.373924281893535,False,4,1,False,1.0831295771533842,0,3.39,Moderate
-0.3668835316402739,-0.8955383898693237,False,0,2,False,1.0831295771533842,0,3.77,Moderate
-0.0877254326178092,-0.4171524978451122,False,3,1,False,0.3071296754007933,5,2.92,Moderate
-0.3319887692624657,0.5396192862033105,False,2,3,False,0.5288439330443908,0,5.53,High
0.1565379040268469,0.5396192862033105,True,2,4,False,-0.8014416128171935,5,5.01,High
-0.5413573435293142,0.0612333941790991,False,1,4,False,0.8059867550988875,0,5.05,High
-1.169463066329859,-0.4171524978451122,False,1,1,False,0.7505581906879883,2,2.67,Moderate
0.5054855278049275,1.018005178227522,False,1,1,False,-0.9677273060498914,5,3.95,Moderate
-1.3439368782188994,-0.8955383898693237,False,2,0,False,0.1408439821680953,0,3.47,Moderate
-0.61114686828493,0.0612333941790991,False,2,3,False,1.1939867059751823,2,3.96,Moderate
0.6450645773161598,1.9747769622759448,True,4,4,True,-0.5242987907626968,3,7.61,High
-0.6809363930405462,-1.373924281893535,False,4,2,False,0.0854154177571957,0,4.92,Moderate
0.6101698149383519,1.018005178227522,True,1,3,True,0.0299868533462965,1,6.64,High
-0.7856206801739705,-0.8955383898693237,False,4,3,False,0.4734153686334912,4,3.44,Moderate
0.0169588545156148,-0.4171524978451122,False,1,0,False,-0.8014416128171935,0,4.78,Moderate
-0.9600944920630108,-1.373924281893535,False,4,4,False,0.4734153686334912,1,4.7,Moderate
-0.0877254326178092,-0.4171524978451122,False,2,1,False,-0.5242987907626968,0,5.17,High
-0.3668835316402739,-0.8955383898693237,False,1,4,False,-0.413441661940898,1,4.85,Moderate
0.2961169535380792,0.0612333941790991,True,4,2,False,0.58427249745529,5,4.3,Moderate
-0.9251997296852028,-0.8955383898693237,False,1,3,False,1.5819866568514784,4,1.98,Low
-1.9720426010194445,-1.373924281893535,False,4,3,False,1.6928437856732768,2,2.71,Moderate
-0.1226201949956174,-0.4171524978451122,False,3,4,False,-0.3025845331190993,0,6.2,High
-1.5533054524857477,-1.373924281893535,False,4,0,False,1.3048438347969815,2,2.31,Moderate
-0.0528306702400013,0.0612333941790991,False,0,4,False,0.6951296262770883,4,3.42,Moderate
0.3310117159158872,0.0612333941790991,True,4,4,False,0.1408439821680953,0,7.27,High
-1.9371478386416363,-1.373924281893535,False,3,4,False,1.027701012742485,4,2.15,Moderate
-0.1924097197512336,-0.4171524978451122,False,1,4,False,0.417986804222592,0,5.26,High
0.1565379040268469,0.0612333941790991,True,2,4,False,0.58427249745529,1,5.94,High
-0.4366730563958898,-0.4171524978451122,False,2,3,False,1.027701012742485,5,2.64,Moderate
-0.61114686828493,-1.373924281893535,False,2,0,False,0.7505581906879883,1,3.09,Moderate
-0.506462581151506,0.0612333941790991,False,4,1,False,0.0299868533462965,0,5.41,High
0.2961169535380792,0.5396192862033105,True,4,0,False,-0.6351559195844956,5,4.46,Moderate
0.0169588545156148,0.5396192862033105,False,1,3,False,-0.1362988398864013,0,5.78,High
-0.471567818773698,-0.8955383898693237,False,1,1,False,-0.6351559195844956,0,4.44,Moderate
-1.2392525910854753,-1.373924281893535,False,1,4,False,1.0831295771533842,4,2.05,Moderate
-0.7507259177961624,-0.8955383898693237,False,4,4,False,-0.3580130975299989,4,4.11,Moderate
-0.4017782940180818,0.0612333941790991,False,4,1,False,0.417986804222592,2,4.45,Moderate
-0.9251997296852028,-0.8955383898693237,False,2,3,False,-0.1362988398864013,0,4.76,Moderate
-0.1575149573734254,0.0612333941790991,False,4,4,False,0.8059867550988875,0,6.19,High
0.7497488644495842,1.4963910702517331,True,0,1,False,-1.6328700789806836,0,6.94,High
0.9940122010942404,0.5396192862033105,True,1,2,True,-1.7437272078024824,5,5.45,High
0.3659064782936954,0.0612333941790991,True,3,0,False,-0.2471559687082001,5,3.84,Moderate
0.086748379271231,0.5396192862033105,False,3,1,False,0.3625582398116924,0,5.61,High
